GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,NAME,JN9E001,JN9E002,JN9E003,JN9E004,JN9E005,JN9E006,JN9E007,JN9E008,JN9E009,JN9E010,JN9E011,JN9E012,JN9E013,JN9E014,JN9E015,JN9E016,JN9E017,JN9E018,JN9E019,JN9E020,JN9E021,JN9E022,JN9E023,JN9E024,JN9E025,JN9E026,JN9E027,JN9E028,JN9E029,JN9E030,JN9E031,JN9E032,JN9E033,JN9E034,JN9E035,JN9M001,JN9M002,JN9M003,JN9M004,JN9M005,JN9M006,JN9M007,JN9M008,JN9M009,JN9M010,JN9M011,JN9M012,JN9M013,JN9M014,JN9M015,JN9M016,JN9M017,JN9M018,JN9M019,JN9M020,JN9M021,JN9M022,JN9M023,JN9M024,JN9M025,JN9M026,JN9M027,JN9M028,JN9M029,JN9M030,JN9M031,JN9M032,JN9M033,JN9M034,JN9M035
G4201010003600,2006-2010,Pennsylvania,42,Philadelphia County,101,3600,Census Tract 36, Philadelphia County, Pennsylvania,3772,1375,33,0,0,82,102,86,132,51,499,48,104,0,187,34,17,0,2397,63,9,27,197,33,99,242,110,822,212,172,108,276,27,0,0,398,266,40,109,109,108,99,74,92,62,222,60,67,109,105,42,26,109,242,53,16,30,114,37,83,121,74,214,119,102,71,150,31
G4201010003701,2006-2010,Pennsylvania,42,Philadelphia County,101,3701,Census Tract 37.01, Philadelphia County, Pennsylvania,3899,1709,82,15,0,0,16,129,131,168,903,26,139,15,85,0,0,0,2190,99,0,25,41,0,88,159,88,1017,159,123,106,217,55,0,13,439,333,63,25,109,109,26,107,114,99,324,32,82,24,81,109,109,109,298,72,109,42,37,109,65,102,87,225,134,80,112,138,70
G4201010003702,2006-2010,Pennsylvania,42,Philadelphia County,101,3702,Census Tract 37.02, Philadelphia County, Pennsylvania,2057,877,65,19,0,0,0,0,16,72,366,7,113,93,84,35,0,7,1180,26,0,0,16,32,21,60,87,476,57,158,55,134,58,0,0,233,162,52,23,109,109,109,109,28,64,151,12,74,88,58,29,109,12,178,32,109,109,25,33,26,48,86,116,42,101,41,91,50
G4201010004101,2006-2010,Pennsylvania,42,Philadelphia County,101,4101,Census Tract 41.01, Philadelphia County, Pennsylvania,3483,1842,56,135,140,115,84,367,78,39,502,82,91,22,97,34,0,0,1641,275,50,212,22,42,104,89,70,408,25,177,29,77,44,17,0,508,345,53,90,86,96,102,162,74,43,212,61,73,25,70,38,109,109,308,156,59,129,26,34,68,96,44,133,29,102,40,58,51
G4201010004002,2006-2010,Pennsylvania,42,Philadelphia County,101,4002,Census Tract 40.02, Philadelphia County, Pennsylvania,3519,1529,27,25,0,11,0,32,88,77,582,137,195,75,87,94,28,71,1990,53,27,23,83,43,96,34,15,1025,91,120,52,240,71,0,17,329,230,32,39,109,18,109,42,89,72,172,87,153,52,54,74,32,86,229,50,31,38,64,39,90,37,25,203,93,92,43,106,50
G4201010003902,2006-2010,Pennsylvania,42,Philadelphia County,101,3902,Census Tract 39.02, Philadelphia County, Pennsylvania,3814,1889,0,0,0,18,31,50,54,49,929,92,186,100,332,34,14,0,1925,0,0,0,63,31,116,91,21,910,110,297,46,196,44,0,0,283,295,109,109,109,28,38,49,39,47,229,67,94,89,193,40,23,109,193,109,109,109,54,25,70,50,24,183,64,118,42,96,49
G4201010004001,2006-2010,Pennsylvania,42,Philadelphia County,101,4001,Census Tract 40.01, Philadelphia County, Pennsylvania,3181,1497,17,0,20,58,56,31,40,102,479,94,132,47,319,83,6,13,1684,23,0,12,86,48,140,51,0,597,61,237,48,287,59,0,35,247,172,27,109,19,60,58,33,35,65,132,67,69,46,113,61,10,20,161,30,109,16,70,35,68,31,109,135,50,116,37,98,41
G4201010004102,2006-2010,Pennsylvania,42,Philadelphia County,101,4102,Census Tract 41.02, Philadelphia County, Pennsylvania,4487,2357,136,63,26,141,106,127,160,38,758,37,250,218,243,39,0,15,2130,239,0,67,166,121,108,54,42,901,50,126,41,177,38,0,0,556,369,70,54,38,108,81,79,96,42,239,40,123,97,163,47,109,25,290,114,109,65,106,79,87,47,30,207,42,85,48,122,45
G4201010004202,2006-2010,Pennsylvania,42,Philadelphia County,101,4202,Census Tract 42.02, Philadelphia County, Pennsylvania,3418,1517,10,32,22,39,63,133,106,30,609,62,150,76,177,8,0,0,1901,99,0,53,155,57,99,176,6,684,98,185,119,138,32,0,0,264,221,16,57,28,38,40,90,63,37,146,46,61,51,103,14,109,109,195,53,109,38,100,52,56,84,11,160,57,89,109,92,42
G4201010004201,2006-2010,Pennsylvania,42,Philadelphia County,101,4201,Census Tract 42.01, Philadelphia County, Pennsylvania,3720,1776,0,0,107,78,132,73,27,33,756,64,207,30,181,74,0,14,1944,103,25,11,67,42,39,98,28,891,19,228,47,255,91,0,0,399,356,109,109,113,94,114,69,29,43,168,41,140,52,107,60,109,22,242,81,34,17,82,66,33,55,28,223,29,161,36,122,63
G4201010007900,2006-2010,Pennsylvania,42,Philadelphia County,101,7900,Census Tract 79, Philadelphia County, Pennsylvania,3148,1466,55,0,0,36,11,19,13,0,269,79,130,90,309,336,59,60,1682,52,0,0,0,0,51,15,0,116,40,252,105,435,493,60,63,385,245,60,109,109,36,19,32,26,109,204,78,92,78,138,176,52,55,268,57,109,109,109,109,81,22,109,103,47,139,97,183,201
G4201010008000,2006-2010,Pennsylvania,42,Philadelphia County,101,8000,Census Tract 80, Philadelphia County, Pennsylvania,2739,1143,83,22,20,0,67,34,58,142,177,54,281,19,133,53,0,0,1596,0,0,13,12,19,59,97,84,444,120,212,50,355,80,29,22,320,232,87,34,32,109,59,47,41,116,99,37,132,30,80,67,109,109,295,109,109,20,20,21,48,79,60,134,74,93,40,186,74
G4201010008200,2006-2010,Pennsylvania,42,Philadelphia County,101,8200,Census Tract 82, Philadelphia County, Pennsylvania,5078,1997,79,18,151,64,24,36,142,94,793,125,261,54,115,41,0,0,3081,0,0,7,125,0,75,186,105,1381,280,361,112,273,176,0,0,612,452,88,28,163,64,29,43,80,93,300,107,159,69,103,40,109,109,373,109,109,20,90,109,57,115,76,365,139,176,88,140,97
G4201010017601,2006-2010,Pennsylvania,42,Philadelphia County,101,17601,Census Tract 176.01, Philadelphia County, Pennsylvania,2731,1059,70,60,93,110,151,49,179,97,239,0,11,0,0,0,0,0,1672,76,48,131,113,139,254,120,27,628,10,49,25,52,0,0,0,305,201,55,46,70,73,94,59,104,69,118,109,19,109,109,109,109,109,190,49,49,74,73,88,121,73,42,181,16,51,29,44,109
G4201010008301,2006-2010,Pennsylvania,42,Philadelphia County,101,8301,Census Tract 83.01, Philadelphia County, Pennsylvania,2868,1129,8,0,45,11,11,46,58,83,456,86,141,87,87,2,8,0,1739,13,8,28,32,41,31,146,99,611,92,337,183,110,8,0,0,298,212,14,109,35,17,19,27,35,75,144,78,65,73,70,9,14,109,234,24,14,27,26,51,37,93,60,171,45,119,112,78,14
G4201010008400,2006-2010,Pennsylvania,42,Philadelphia County,101,8400,Census Tract 84, Philadelphia County, Pennsylvania,2952,1483,14,0,33,0,38,37,49,52,817,77,190,89,50,25,0,12,1469,39,0,0,32,11,32,61,103,616,40,301,83,70,69,0,12,348,234,21,109,50,109,45,35,42,54,219,78,100,60,48,27,109,18,193,46,109,109,40,15,29,44,63,161,37,102,61,46,54
G4201010008500,2006-2010,Pennsylvania,42,Philadelphia County,101,8500,Census Tract 85, Philadelphia County, Pennsylvania,3839,1592,42,50,125,28,103,14,178,16,445,71,192,95,188,0,45,0,2247,0,35,55,65,28,197,158,50,767,109,469,66,211,20,17,0,449,336,50,79,86,44,83,23,121,25,165,83,102,103,173,109,49,109,283,109,48,39,79,35,100,100,44,230,88,170,53,129,25
G4201010009000,2006-2010,Pennsylvania,42,Philadelphia County,101,9000,Census Tract 90, Philadelphia County, Pennsylvania,878,598,0,0,0,0,0,0,11,11,84,23,74,39,114,89,135,18,280,9,0,0,0,0,0,0,0,47,13,9,13,85,83,0,21,202,187,109,109,109,109,109,109,19,19,71,29,59,49,67,64,53,22,85,15,109,109,109,109,109,109,109,40,22,15,22,51,47
G4201010009100,2006-2010,Pennsylvania,42,Philadelphia County,101,9100,Census Tract 91, Philadelphia County, Pennsylvania,1528,755,1,23,12,0,1,34,31,13,223,43,86,0,165,85,0,38,773,28,5,13,26,6,26,50,38,233,46,56,12,56,71,6,101,191,151,6,26,19,109,10,31,29,21,111,57,73,109,109,52,109,27,176,39,9,20,29,9,31,36,59,98,33,41,19,41,52
G4201010009200,2006-2010,Pennsylvania,42,Philadelphia County,101,9200,Census Tract 92, Philadelphia County, Pennsylvania,1619,569,19,0,0,0,0,45,15,0,210,79,51,33,90,0,27,0,1050,11,0,53,6,87,62,99,58,252,102,122,39,110,38,0,11,236,156,31,109,109,109,109,71,23,109,100,79,52,28,81,109,29,109,174,18,109,56,10,67,51,60,60,147,54,75,55,73,48
G4201010009300,2006-2010,Pennsylvania,42,Philadelphia County,101,9300,Census Tract 93, Philadelphia County, Pennsylvania,2562,996,18,13,0,44,0,75,28,0,416,73,107,77,92,53,0,0,1566,0,0,0,32,22,109,68,23,619,45,276,150,143,67,0,12,327,204,28,21,109,64,109,81,32,109,141,72,75,81,60,48,109,109,263,109,109,109,31,34,50,58,26,175,40,117,88,99,79
G4201010009400,2006-2010,Pennsylvania,42,Philadelphia County,101,9400,Census Tract 94, Philadelphia County, Pennsylvania,2231,942,0,0,0,55,49,67,124,0,386,22,131,86,22,0,0,0,1289,9,0,0,67,0,39,155,75,415,101,211,121,32,64,0,0,344,201,109,109,109,72,61,52,83,109,156,25,87,62,23,109,109,109,231,15,109,109,64,109,31,91,53,126,60,101,77,29,59
G4201010009500,2006-2010,Pennsylvania,42,Philadelphia County,101,9500,Census Tract 95, Philadelphia County, Pennsylvania,2081,943,27,0,69,39,72,62,84,49,260,90,102,27,35,27,0,0,1138,0,0,0,0,34,123,47,12,538,69,111,55,92,49,0,8,290,199,30,109,97,42,62,49,64,58,103,119,59,38,33,34,109,109,176,109,109,109,109,40,71,39,14,144,54,75,60,51,52
G4201010009600,2006-2010,Pennsylvania,42,Philadelphia County,101,9600,Census Tract 96, Philadelphia County, Pennsylvania,2588,1040,0,0,0,122,0,6,58,47,540,93,117,11,26,20,0,0,1548,28,11,8,110,9,33,62,39,595,153,241,158,45,56,0,0,375,305,109,109,109,109,109,12,43,77,259,70,85,18,33,23,109,109,215,35,17,14,81,15,39,48,44,153,170,135,92,46,43
G4201010013800,2006-2010,Pennsylvania,42,Philadelphia County,101,13800,Census Tract 138, Philadelphia County, Pennsylvania,1246,548,0,7,0,57,11,31,36,27,229,38,58,24,30,0,0,0,698,0,0,10,0,85,33,16,6,352,14,39,83,45,15,0,0,158,93,109,12,109,39,19,48,49,40,101,58,48,28,37,109,109,109,148,109,109,15,109,76,25,19,10,107,25,47,69,39,25
G4201010013900,2006-2010,Pennsylvania,42,Philadelphia County,101,13900,Census Tract 139, Philadelphia County, Pennsylvania,1900,797,9,24,25,41,84,133,23,19,259,10,63,45,50,0,12,0,1103,44,0,9,64,18,86,50,37,417,96,128,57,97,0,0,0,241,171,15,39,24,31,60,65,24,22,116,17,52,45,51,109,19,109,178,28,109,15,37,20,58,40,32,115,66,66,55,71,109
G4201010014000,2006-2010,Pennsylvania,42,Philadelphia County,101,14000,Census Tract 140, Philadelphia County, Pennsylvania,1591,669,33,14,0,0,26,0,0,19,401,0,25,37,114,0,0,0,922,0,14,28,31,0,70,44,16,387,74,114,10,105,29,0,0,255,186,45,24,109,109,42,109,109,26,150,109,29,30,81,109,109,109,159,109,22,39,25,109,64,49,24,129,68,71,17,75,38
G4201010014100,2006-2010,Pennsylvania,42,Philadelphia County,101,14100,Census Tract 141, Philadelphia County, Pennsylvania,1481,737,33,0,60,44,47,75,102,33,199,10,61,0,42,23,0,8,744,0,7,0,45,14,44,30,35,268,42,141,35,56,27,0,0,285,262,40,109,43,58,41,57,64,30,85,16,43,109,55,27,109,13,114,109,11,109,35,23,45,26,40,99,35,62,39,65,19
G4201010014200,2006-2010,Pennsylvania,42,Philadelphia County,101,14200,Census Tract 142, Philadelphia County, Pennsylvania,2241,1197,0,0,0,0,0,19,22,17,218,17,304,44,350,179,15,12,1044,0,0,8,0,0,0,0,64,221,20,70,28,416,164,41,12,290,251,109,109,109,109,109,29,32,20,117,27,132,43,142,73,22,16,165,109,109,13,109,109,109,109,50,84,23,49,33,134,82
G4201010014300,2006-2010,Pennsylvania,42,Philadelphia County,101,14300,Census Tract 143, Philadelphia County, Pennsylvania,1037,554,0,0,0,0,15,0,21,25,129,0,75,56,188,29,10,6,483,0,0,0,9,3,34,23,10,142,25,32,46,113,39,7,0,157,101,109,109,109,109,19,109,22,25,68,109,75,43,92,43,17,10,129,109,109,109,14,10,35,26,18,93,25,28,44,61,31
G4201010014400,2006-2010,Pennsylvania,42,Philadelphia County,101,14400,Census Tract 144, Philadelphia County, Pennsylvania,1737,932,11,12,8,59,71,0,47,0,314,1,143,49,177,26,0,14,805,24,25,64,33,18,74,62,0,170,0,132,0,143,37,0,23,221,203,25,21,12,59,69,109,45,109,102,22,82,58,116,40,109,24,134,29,26,67,36,29,52,55,109,120,109,87,109,84,38
G4201010014500,2006-2010,Pennsylvania,42,Philadelphia County,101,14500,Census Tract 145, Philadelphia County, Pennsylvania,826,259,10,11,0,29,8,43,41,27,70,0,0,20,0,0,0,0,567,11,16,40,22,9,35,68,9,227,29,81,0,20,0,0,0,163,84,16,18,109,39,16,50,42,28,46,109,109,32,109,109,109,109,148,18,25,44,22,15,26,53,13,113,29,60,109,23,109
G4201010014600,2006-2010,Pennsylvania,42,Philadelphia County,101,14600,Census Tract 146, Philadelphia County, Pennsylvania,1362,461,0,25,0,15,27,35,1,0,204,29,54,0,53,13,5,0,901,87,0,2,7,0,54,72,24,447,14,39,3,94,52,6,0,200,115,109,29,109,17,48,44,10,109,90,38,69,109,47,18,9,109,209,115,109,13,12,109,59,52,39,147,13,53,9,66,48
G4201010014700,2006-2010,Pennsylvania,42,Philadelphia County,101,14700,Census Tract 147, Philadelphia County, Pennsylvania,1091,529,46,0,0,0,0,61,71,14,220,20,61,26,0,10,0,0,562,5,0,0,11,0,48,75,32,267,0,7,18,75,24,0,0,265,191,72,109,109,109,109,71,64,22,123,28,49,35,109,15,109,109,151,14,109,109,16,109,50,60,40,106,109,16,27,62,29
G4201010014800,2006-2010,Pennsylvania,42,Philadelphia County,101,14800,Census Tract 148, Philadelphia County, Pennsylvania,400,207,0,0,11,0,8,10,0,0,136,0,16,26,0,0,0,0,193,0,0,0,26,0,42,25,0,72,10,9,9,0,0,0,0,127,102,109,109,17,109,14,17,109,109,91,109,16,27,109,109,109,109,72,109,109,109,41,109,36,41,109,54,18,14,14,109,109
G4201010014900,2006-2010,Pennsylvania,42,Philadelphia County,101,14900,Census Tract 149, Philadelphia County, Pennsylvania,2265,912,12,0,17,34,26,36,138,19,378,21,149,20,62,0,0,0,1353,0,0,9,0,40,26,146,74,801,53,81,90,16,17,0,0,388,228,19,109,27,27,30,35,85,30,153,40,86,32,66,109,109,109,287,109,109,15,109,62,28,86,58,226,52,56,65,24,26
G4201010015200,2006-2010,Pennsylvania,42,Philadelphia County,101,15200,Census Tract 152, Philadelphia County, Pennsylvania,2951,1063,35,93,14,14,0,194,106,34,403,38,68,41,23,0,0,0,1888,22,4,0,9,75,198,89,157,927,23,242,114,28,0,0,0,361,239,40,121,25,22,109,137,76,39,128,59,80,36,33,109,109,109,248,24,18,109,13,62,93,80,109,202,31,98,99,37,109
G4201010015300,2006-2010,Pennsylvania,42,Philadelphia County,101,15300,Census Tract 153, Philadelphia County, Pennsylvania,1621,831,0,20,0,20,0,42,129,67,310,7,22,0,143,59,12,0,790,0,0,0,0,105,44,67,22,283,35,48,96,90,0,0,0,274,220,109,31,109,29,109,50,95,64,162,15,37,109,97,64,20,109,146,109,109,109,109,81,44,63,36,103,50,60,39,104,109
G4201010015600,2006-2010,Pennsylvania,42,Philadelphia County,101,15600,Census Tract 156, Philadelphia County, Pennsylvania,933,421,13,0,17,54,84,55,24,0,129,0,32,13,0,0,0,0,512,0,0,23,38,72,67,29,54,144,35,38,0,0,12,0,0,207,149,21,109,20,40,79,65,28,109,88,109,35,31,109,109,109,109,120,109,109,27,42,53,60,45,45,58,44,36,109,109,26
G4201010019000,2006-2010,Pennsylvania,42,Philadelphia County,101,19000,Census Tract 190, Philadelphia County, Pennsylvania,4811,2417,40,81,281,133,146,8,314,8,985,59,147,77,138,0,0,0,2394,164,73,41,193,85,97,126,125,1073,135,156,101,25,0,0,0,608,654,32,108,169,171,158,14,319,15,263,74,105,81,107,109,109,109,340,124,89,61,135,95,80,92,93,375,165,111,65,26,109
G4201010019100,2006-2010,Pennsylvania,42,Philadelphia County,101,19100,Census Tract 191, Philadelphia County, Pennsylvania,4555,2050,24,119,238,161,106,21,138,47,651,66,219,72,142,22,9,15,2505,140,139,46,43,160,131,115,95,751,115,265,263,189,42,0,11,471,296,27,80,187,92,100,36,92,53,173,51,153,54,87,24,17,24,303,86,115,56,36,91,96,93,65,217,74,136,137,120,70
G4201010019200,2006-2010,Pennsylvania,42,Philadelphia County,101,19200,Census Tract 192, Philadelphia County, Pennsylvania,4161,1725,115,41,73,183,117,46,145,43,587,79,22,222,36,0,16,0,2436,138,45,109,209,207,336,242,86,651,79,260,62,12,0,0,0,589,390,104,65,80,170,94,63,131,32,183,61,32,164,46,109,26,109,330,104,49,97,137,118,155,153,52,213,61,123,58,20,109
G4201010019700,2006-2010,Pennsylvania,42,Philadelphia County,101,19700,Census Tract 197, Philadelphia County, Pennsylvania,3953,1566,113,0,52,34,141,81,87,115,636,109,96,4,73,13,0,12,2387,36,82,14,185,111,73,188,36,1058,184,245,67,79,13,16,0,355,246,92,109,48,43,103,81,88,82,194,91,59,9,75,20,109,21,311,40,71,22,103,98,63,114,33,266,135,121,56,59,20
G4201010019800,2006-2010,Pennsylvania,42,Philadelphia County,101,19800,Census Tract 198, Philadelphia County, Pennsylvania,3281,1445,50,97,10,139,103,148,113,18,424,65,161,20,85,0,12,0,1836,47,18,179,172,60,155,125,83,636,40,147,81,84,0,9,0,268,185,49,86,19,117,73,102,80,31,145,65,91,31,60,109,20,109,219,42,27,103,99,58,93,68,57,155,31,129,58,65,109
G4201010019900,2006-2010,Pennsylvania,42,Philadelphia County,101,19900,Census Tract 199, Philadelphia County, Pennsylvania,2576,1265,0,76,24,106,206,96,100,57,425,26,111,38,0,0,0,0,1311,63,49,43,111,63,92,76,20,529,84,55,60,40,10,0,16,398,308,109,82,28,78,109,70,82,56,297,33,78,28,109,109,109,109,184,50,51,47,77,50,68,65,23,122,58,45,53,46,14
G4201010020000,2006-2010,Pennsylvania,42,Philadelphia County,101,20000,Census Tract 200, Philadelphia County, Pennsylvania,810,319,0,0,0,0,25,54,0,0,147,21,12,31,17,0,0,12,491,17,0,11,21,0,25,12,0,239,11,98,0,46,0,11,0,174,142,109,109,109,109,28,60,109,109,88,33,20,48,23,109,109,17,103,25,109,18,24,109,27,17,109,109,17,67,109,36,109
G4201010020200,2006-2010,Pennsylvania,42,Philadelphia County,101,20200,Census Tract 202, Philadelphia County, Pennsylvania,3214,1444,68,0,0,97,12,68,179,65,445,125,273,75,37,0,0,0,1770,0,0,15,7,41,65,51,114,829,136,313,72,76,51,0,0,370,291,72,109,109,68,21,95,116,75,153,124,178,70,47,109,109,109,221,109,109,25,13,35,66,45,81,213,108,161,62,74,65
G4201010020300,2006-2010,Pennsylvania,42,Philadelphia County,101,20300,Census Tract 203, Philadelphia County, Pennsylvania,2034,902,32,0,0,13,0,54,145,0,561,0,36,11,40,0,10,0,1132,14,0,17,59,0,48,176,62,435,12,213,55,41,0,0,0,411,214,28,109,109,20,109,35,92,109,170,109,41,16,42,109,15,109,265,22,109,20,69,109,42,96,66,127,20,106,42,38,109
G4201010020400,2006-2010,Pennsylvania,42,Philadelphia County,101,20400,Census Tract 204, Philadelphia County, Pennsylvania,1857,919,22,0,0,0,23,42,39,30,489,24,125,44,57,0,24,0,938,29,21,0,47,31,39,33,45,327,20,228,25,69,10,14,0,216,170,25,109,109,109,34,39,40,37,147,29,98,49,51,109,28,109,144,34,34,109,51,38,44,24,43,115,25,101,39,56,17
G4201010020500,2006-2010,Pennsylvania,42,Philadelphia County,101,20500,Census Tract 205, Philadelphia County, Pennsylvania,1848,770,0,0,12,44,12,50,42,0,309,123,135,5,0,28,10,0,1078,13,42,26,24,43,70,95,74,371,73,123,79,33,12,0,0,281,207,109,109,19,69,20,68,51,109,154,83,84,10,109,32,15,109,188,18,40,33,28,56,52,61,63,136,71,64,72,50,19
G4201010020600,2006-2010,Pennsylvania,42,Philadelphia County,101,20600,Census Tract 206, Philadelphia County, Pennsylvania,1164,558,0,36,0,0,12,9,0,0,42,22,50,0,155,94,75,63,606,13,0,0,0,29,25,16,0,58,21,47,13,211,142,31,0,191,136,109,58,109,109,18,14,109,109,30,35,39,109,82,50,52,72,123,21,109,109,109,48,29,27,109,49,23,38,20,92,63
G4201010001300,2006-2010,Pennsylvania,42,Philadelphia County,101,1300,Census Tract 13, Philadelphia County, Pennsylvania,3762,2040,0,0,12,27,15,30,77,106,424,235,186,46,360,349,82,91,1722,18,0,0,0,0,46,59,15,309,90,105,46,467,354,143,70,433,319,109,109,18,30,24,33,74,79,207,157,109,48,122,143,48,59,217,28,109,109,109,109,43,49,24,113,56,61,48,130,122
G4201010001400,2006-2010,Pennsylvania,42,Philadelphia County,101,1400,Census Tract 14, Philadelphia County, Pennsylvania,2915,1481,0,0,0,17,0,0,0,22,226,16,43,115,566,338,91,47,1434,0,0,64,16,0,47,57,0,92,13,192,56,557,283,29,28,379,242,109,109,109,27,109,109,109,34,121,27,41,127,177,137,62,43,208,109,109,79,25,109,45,53,109,82,22,104,58,178,105
G4201010001500,2006-2010,Pennsylvania,42,Philadelphia County,101,1500,Census Tract 15, Philadelphia County, Pennsylvania,2133,1247,18,0,0,13,13,88,35,23,174,49,154,31,379,160,71,39,886,0,0,0,28,0,10,0,23,100,0,106,38,214,233,78,56,287,244,33,109,109,23,23,80,40,26,111,50,84,30,118,75,38,33,124,109,109,109,45,109,15,109,26,59,109,61,36,76,88
G4201010001600,2006-2010,Pennsylvania,42,Philadelphia County,101,1600,Census Tract 16, Philadelphia County, Pennsylvania,1566,822,0,0,10,26,0,0,0,0,81,32,72,28,341,134,43,55,744,0,0,0,9,0,6,0,0,113,40,23,95,260,107,58,33,210,154,109,109,15,38,109,109,109,109,60,38,42,29,143,63,29,38,135,109,109,109,14,109,12,109,109,97,38,26,56,79,52
G4201010001700,2006-2010,Pennsylvania,42,Philadelphia County,101,1700,Census Tract 17, Philadelphia County, Pennsylvania,2340,1118,0,0,29,10,0,23,0,0,55,17,100,70,458,197,51,108,1222,30,8,8,0,0,0,22,0,150,11,99,118,384,298,55,39,251,135,109,109,46,21,109,21,109,109,45,21,74,54,129,75,40,56,236,47,13,12,109,109,109,30,109,92,17,70,139,140,87
G4201010001800,2006-2010,Pennsylvania,42,Philadelphia County,101,1800,Census Tract 18, Philadelphia County, Pennsylvania,2220,1158,14,0,5,5,0,20,61,24,214,29,78,33,392,83,171,29,1062,13,0,5,21,66,0,40,35,252,0,13,22,296,201,65,33,258,172,21,109,10,8,109,26,74,28,92,38,50,52,147,47,76,20,180,20,109,9,28,56,109,37,42,111,109,16,25,96,101
G4201010001900,2006-2010,Pennsylvania,42,Philadelphia County,101,1900,Census Tract 19, Philadelphia County, Pennsylvania,2120,1184,0,23,31,0,0,173,8,32,321,49,122,26,261,109,20,9,936,0,24,32,46,23,34,35,0,186,29,20,26,274,87,87,33,525,337,109,38,50,109,109,140,13,56,154,60,77,40,89,59,22,14,244,109,38,42,76,38,35,41,109,86,40,36,42,116,64
G4201010002000,2006-2010,Pennsylvania,42,Philadelphia County,101,2000,Census Tract 20, Philadelphia County, Pennsylvania,1093,415,0,0,20,20,15,61,19,18,84,0,32,64,63,19,0,0,678,0,0,0,0,0,50,108,43,175,23,94,20,91,5,54,15,194,142,109,109,32,29,22,51,31,26,88,109,32,50,48,26,109,109,137,109,109,109,109,109,49,58,57,69,26,71,23,75,18
G4201010002100,2006-2010,Pennsylvania,42,Philadelphia County,101,2100,Census Tract 21, Philadelphia County, Pennsylvania,1118,432,0,0,0,0,0,56,0,0,240,22,53,6,55,0,0,0,686,0,0,10,0,34,15,39,0,267,83,89,19,73,12,9,36,172,135,109,109,109,109,109,57,109,109,105,30,50,12,58,109,109,109,102,109,109,17,109,39,19,31,109,96,49,61,22,52,19
G4201010002200,2006-2010,Pennsylvania,42,Philadelphia County,101,2200,Census Tract 22, Philadelphia County, Pennsylvania,1250,647,0,0,21,13,0,13,13,82,211,7,102,0,86,27,59,13,603,6,0,0,14,35,53,0,26,117,0,34,29,129,130,30,0,235,164,109,109,32,25,109,22,19,91,109,12,72,109,62,32,54,21,189,12,109,109,17,36,63,109,31,78,109,39,34,68,149
G4201010002300,2006-2010,Pennsylvania,42,Philadelphia County,101,2300,Census Tract 23, Philadelphia County, Pennsylvania,2047,1032,44,27,65,61,68,48,23,13,141,58,112,35,268,47,0,22,1015,77,0,0,68,8,38,27,20,304,26,105,87,154,56,37,8,238,178,33,43,68,44,70,42,31,21,89,53,74,40,117,45,109,23,138,48,109,109,61,14,32,27,23,98,25,59,64,87,42
G4201010002400,2006-2010,Pennsylvania,42,Philadelphia County,101,2400,Census Tract 24, Philadelphia County, Pennsylvania,3001,1422,50,0,0,46,18,89,42,0,388,40,87,76,316,129,102,39,1579,49,0,37,119,33,100,0,0,322,67,86,68,314,275,55,54,416,290,64,109,109,47,28,110,68,109,241,45,79,109,114,67,77,36,263,39,109,61,74,38,80,109,109,125,51,76,77,110,135
G4201010002500,2006-2010,Pennsylvania,42,Philadelphia County,101,2500,Census Tract 25, Philadelphia County, Pennsylvania,2469,1076,30,0,35,24,36,17,34,0,378,50,52,40,219,86,53,22,1393,17,29,0,31,23,50,106,0,529,68,160,49,212,79,30,10,239,187,39,109,46,33,45,19,43,109,138,44,39,46,115,54,31,23,139,24,47,109,24,31,45,68,109,118,55,63,37,80,45
G4201010002900,2006-2010,Pennsylvania,42,Philadelphia County,101,2900,Census Tract 29, Philadelphia County, Pennsylvania,3086,1605,0,7,23,68,22,96,7,6,558,78,165,49,247,190,37,52,1481,0,9,0,0,59,50,72,49,526,89,143,12,209,220,31,12,221,204,109,11,30,62,34,90,11,10,170,51,89,34,116,82,36,45,161,109,13,109,109,65,47,63,42,143,55,72,20,90,105
G4201010003100,2006-2010,Pennsylvania,42,Philadelphia County,101,3100,Census Tract 31, Philadelphia County, Pennsylvania,2601,1093,24,0,0,83,0,17,52,79,444,28,189,87,49,41,0,0,1508,0,0,51,57,0,118,158,59,522,109,216,30,54,67,67,0,397,321,39,109,109,82,109,28,61,71,208,35,112,81,59,71,109,109,229,109,109,78,64,109,96,110,77,200,98,136,47,52,64
G4201010005000,2006-2010,Pennsylvania,42,Philadelphia County,101,5000,Census Tract 50, Philadelphia County, Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
G4201010005400,2006-2010,Pennsylvania,42,Philadelphia County,101,5400,Census Tract 54, Philadelphia County, Pennsylvania,1027,556,40,0,0,9,0,0,0,0,114,0,102,57,183,42,0,9,471,19,0,0,0,0,0,0,0,102,23,126,108,43,50,0,0,176,150,57,109,109,14,109,109,109,109,87,109,76,50,88,43,109,14,87,26,109,109,109,109,109,109,109,59,31,76,68,48,38
